Date : 2024-10-18 14:33:33
Directory : d:\panling\yuehua-plugin\src\main
Total : 214 files,  48629 codes, 2554 comments, 7388 blanks, all 58571 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Java     |        213 |     48,547 |      2,554 |      7,387 |     58,488 |
| YAML     |          1 |         82 |          0 |          1 |         83 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                  |        214 |     48,629 |      2,554 |      7,388 |     58,571 |
| java                                                                                                               |        213 |     48,547 |      2,554 |      7,387 |     58,488 |
| java\com                                                                                                           |        213 |     48,547 |      2,554 |      7,387 |     58,488 |
| java\com\xiaoxiaoowo                                                                                               |        213 |     48,547 |      2,554 |      7,387 |     58,488 |
| java\com\xiaoxiaoowo\yuehua                                                                                        |        213 |     48,547 |      2,554 |      7,387 |     58,488 |
| java\com\xiaoxiaoowo\yuehua (Files)                                                                                |          1 |        383 |         28 |         78 |        489 |
| java\com\xiaoxiaoowo\yuehua\commands                                                                               |         39 |      6,161 |        780 |      1,005 |      7,946 |
| java\com\xiaoxiaoowo\yuehua\commands (Files)                                                                       |          1 |        952 |        629 |        315 |      1,896 |
| java\com\xiaoxiaoowo\yuehua\commands\blockcommand                                                                  |         11 |        925 |         14 |        156 |      1,095 |
| java\com\xiaoxiaoowo\yuehua\commands\opcommand                                                                     |         11 |      1,188 |        134 |        161 |      1,483 |
| java\com\xiaoxiaoowo\yuehua\commands\opcommand (Files)                                                             |          7 |      1,029 |        134 |        121 |      1,284 |
| java\com\xiaoxiaoowo\yuehua\commands\opcommand\data                                                                |          4 |        159 |          0 |         40 |        199 |
| java\com\xiaoxiaoowo\yuehua\commands\playercommand                                                                 |         16 |      3,096 |          3 |        373 |      3,472 |
| java\com\xiaoxiaoowo\yuehua\commands\playercommand (Files)                                                         |          9 |      2,900 |          3 |        324 |      3,227 |
| java\com\xiaoxiaoowo\yuehua\commands\playercommand\completer                                                       |          7 |        196 |          0 |         49 |        245 |
| java\com\xiaoxiaoowo\yuehua\data                                                                                   |         12 |      1,122 |         14 |        372 |      1,508 |
| java\com\xiaoxiaoowo\yuehua\data (Files)                                                                           |          7 |        965 |         14 |        316 |      1,295 |
| java\com\xiaoxiaoowo\yuehua\data\slot                                                                              |          5 |        157 |          0 |         56 |        213 |
| java\com\xiaoxiaoowo\yuehua\display                                                                                |          3 |         49 |          5 |         23 |         77 |
| java\com\xiaoxiaoowo\yuehua\display\test                                                                           |          2 |         37 |          5 |         16 |         58 |
| java\com\xiaoxiaoowo\yuehua\display\utils                                                                          |          1 |         12 |          0 |          7 |         19 |
| java\com\xiaoxiaoowo\yuehua\entity                                                                                 |         51 |      5,374 |        243 |      1,131 |      6,748 |
| java\com\xiaoxiaoowo\yuehua\entity\monster                                                                         |          3 |        161 |         50 |         50 |        261 |
| java\com\xiaoxiaoowo\yuehua\entity\monster (Files)                                                                 |          2 |        111 |         34 |         34 |        179 |
| java\com\xiaoxiaoowo\yuehua\entity\monster\east                                                                    |          1 |         50 |         16 |         16 |         82 |
| java\com\xiaoxiaoowo\yuehua\entity\monster\east\normal                                                             |          1 |         50 |         16 |         16 |         82 |
| java\com\xiaoxiaoowo\yuehua\entity\npc                                                                             |         47 |      5,195 |        188 |      1,077 |      6,460 |
| java\com\xiaoxiaoowo\yuehua\entity\npc\dz                                                                          |         21 |      2,521 |         84 |        492 |      3,097 |
| java\com\xiaoxiaoowo\yuehua\entity\npc\food                                                                        |          4 |        383 |         16 |         94 |        493 |
| java\com\xiaoxiaoowo\yuehua\entity\npc\fulin                                                                       |          4 |        419 |         16 |         47 |        482 |
| java\com\xiaoxiaoowo\yuehua\entity\npc\middle                                                                      |          4 |        322 |         16 |         74 |        412 |
| java\com\xiaoxiaoowo\yuehua\entity\npc\yushi                                                                       |         14 |      1,550 |         56 |        370 |      1,976 |
| java\com\xiaoxiaoowo\yuehua\entity\other                                                                           |          1 |         18 |          5 |          4 |         27 |
| java\com\xiaoxiaoowo\yuehua\event                                                                                  |         30 |      4,266 |        267 |        610 |      5,143 |
| java\com\xiaoxiaoowo\yuehua\event\Inventory                                                                        |          3 |      1,716 |         27 |        164 |      1,907 |
| java\com\xiaoxiaoowo\yuehua\event\Projectile                                                                       |          2 |         93 |          1 |         21 |        115 |
| java\com\xiaoxiaoowo\yuehua\event\Spawner                                                                          |          1 |         17 |          3 |          8 |         28 |
| java\com\xiaoxiaoowo\yuehua\event\entity                                                                           |         12 |        780 |         28 |        211 |      1,019 |
| java\com\xiaoxiaoowo\yuehua\event\player                                                                           |         12 |      1,660 |        208 |        206 |      2,074 |
| java\com\xiaoxiaoowo\yuehua\itemstack                                                                              |         33 |     17,128 |        192 |      2,335 |     19,655 |
| java\com\xiaoxiaoowo\yuehua\itemstack (Files)                                                                      |          1 |        280 |          0 |         39 |        319 |
| java\com\xiaoxiaoowo\yuehua\itemstack\dz                                                                           |          6 |      7,630 |        107 |      1,150 |      8,887 |
| java\com\xiaoxiaoowo\yuehua\itemstack\liandan                                                                      |          2 |        274 |          5 |         43 |        322 |
| java\com\xiaoxiaoowo\yuehua\itemstack\monsterzhuangbei                                                             |          6 |      1,096 |         20 |        280 |      1,396 |
| java\com\xiaoxiaoowo\yuehua\itemstack\other                                                                        |          9 |      1,698 |         16 |        270 |      1,984 |
| java\com\xiaoxiaoowo\yuehua\itemstack\zhuangbei                                                                    |          9 |      6,150 |         44 |        553 |      6,747 |
| java\com\xiaoxiaoowo\yuehua\shilian                                                                                |          1 |         77 |          1 |         20 |         98 |
| java\com\xiaoxiaoowo\yuehua\shilian\huancheng                                                                      |          1 |         77 |          1 |         20 |         98 |
| java\com\xiaoxiaoowo\yuehua\system                                                                                 |         28 |      3,637 |         26 |        662 |      4,325 |
| java\com\xiaoxiaoowo\yuehua\system (Files)                                                                         |          4 |        691 |         20 |        185 |        896 |
| java\com\xiaoxiaoowo\yuehua\system\act                                                                             |          8 |      2,679 |          6 |        400 |      3,085 |
| java\com\xiaoxiaoowo\yuehua\system\dz                                                                              |          5 |         97 |          0 |         31 |        128 |
| java\com\xiaoxiaoowo\yuehua\system\handleMonsters                                                                  |          2 |         30 |          0 |          8 |         38 |
| java\com\xiaoxiaoowo\yuehua\system\handleObsevers                                                                  |          9 |        140 |          0 |         38 |        178 |
| java\com\xiaoxiaoowo\yuehua\task                                                                                   |          2 |        139 |          1 |         24 |        164 |
| java\com\xiaoxiaoowo\yuehua\task\hujia                                                                             |          1 |         34 |          0 |          8 |         42 |
| java\com\xiaoxiaoowo\yuehua\task\other                                                                             |          1 |        105 |          1 |         16 |        122 |
| java\com\xiaoxiaoowo\yuehua\utils                                                                                  |         13 |     10,211 |        997 |      1,127 |     12,335 |
| resources                                                                                                          |          1 |         82 |          0 |          1 |         83 |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                           | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\Yuehua.java                                          | Java     |        383 |         28 |         78 |        489 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\Test.java                                   | Java     |        952 |        629 |        315 |      1,896 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\blockcommand\BlockTp.java                   | Java     |         43 |          0 |          6 |         49 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\blockcommand\DuanZao.java                   | Java     |        145 |          0 |         29 |        174 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\blockcommand\IntoGame.java                  | Java     |        120 |         12 |         23 |        155 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\blockcommand\MarkRelife.java                | Java     |         64 |          0 |          8 |         72 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\blockcommand\MyBossSpawn.java               | Java     |         38 |          0 |          9 |         47 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\blockcommand\MySpawn.java                   | Java     |         39 |          0 |         11 |         50 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\blockcommand\Relife.java                    | Java     |        123 |          1 |         19 |        143 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\blockcommand\RenOu.java                     | Java     |         64 |          0 |         10 |         74 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\blockcommand\RenOu2.java                    | Java     |         65 |          0 |          8 |         73 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\blockcommand\Select.java                    | Java     |        166 |          1 |         19 |        186 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\blockcommand\StoreRelifeStone.java          | Java     |         58 |          0 |         14 |         72 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\opcommand\Clearup.java                      | Java     |         67 |          0 |          9 |         76 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\opcommand\GI.java                           | Java     |        642 |        134 |         68 |        844 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\opcommand\MyTp.java                         | Java     |         97 |          0 |          6 |        103 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\opcommand\MyTpTab.java                      | Java     |         26 |          0 |          6 |         32 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\opcommand\PerGet.java                       | Java     |         55 |          0 |         13 |         68 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\opcommand\SetSign.java                      | Java     |         45 |          0 |         14 |         59 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\opcommand\Summon.java                       | Java     |         97 |          0 |          5 |        102 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\opcommand\data\DataCountGet.java            | Java     |         29 |          0 |          5 |         34 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\opcommand\data\DataGet.java                 | Java     |         34 |          0 |          5 |         39 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\opcommand\data\DataSet.java                 | Java     |         53 |          0 |         23 |         76 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\opcommand\data\ItemDataGet.java             | Java     |         43 |          0 |          7 |         50 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\playercommand\ArrowCMD.java                 | Java     |        171 |          0 |         28 |        199 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\playercommand\Buy.java                      | Java     |         77 |          0 |         16 |         93 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\playercommand\Kill.java                     | Java     |         14 |          0 |          3 |         17 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\playercommand\MoneyCMD.java                 | Java     |        416 |          2 |         62 |        480 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\playercommand\Sale.java                     | Java     |         96 |          0 |         20 |        116 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\playercommand\Sell.java                     | Java     |        149 |          1 |         31 |        181 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\playercommand\Yh.java                       | Java     |        656 |          0 |         66 |        722 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\playercommand\Yhteam.java                   | Java     |        294 |          0 |         72 |        366 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\playercommand\YuanSuCMD.java                | Java     |      1,027 |          0 |         26 |      1,053 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\playercommand\completer\ArrowCom.java       | Java     |         27 |          0 |          7 |         34 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\playercommand\completer\BuyCom.java         | Java     |         18 |          0 |          4 |         22 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\playercommand\completer\MoneyCom.java       | Java     |         41 |          0 |         13 |         54 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\playercommand\completer\SaleCom.java        | Java     |         21 |          0 |          4 |         25 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\playercommand\completer\SellCom.java        | Java     |         21 |          0 |          4 |         25 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\playercommand\completer\Yhteam.java         | Java     |         33 |          0 |          9 |         42 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\playercommand\completer\YuanSuCom.java      | Java     |         35 |          0 |          8 |         43 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\data\DanData.java                                    | Java     |        112 |          1 |         35 |        148 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\data\Data.java                                       | Java     |        503 |          8 |        153 |        664 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\data\GongData.java                                   | Java     |         81 |          4 |         30 |        115 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\data\MonsterData.java                                | Java     |         71 |          0 |         23 |         94 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\data\PetData.java                                    | Java     |         26 |          0 |          4 |         30 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\data\TransferData.java                               | Java     |        143 |          0 |         56 |        199 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\data\ZhanData.java                                   | Java     |         29 |          1 |         15 |         45 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\data\slot\EnderChestSlot.java                        | Java     |         12 |          0 |          4 |         16 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\data\slot\Slot.java                                  | Java     |         12 |          0 |          9 |         21 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\data\slot\SlotBuilder.java                           | Java     |        102 |          0 |         29 |        131 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\data\slot\SlotWithOneActiveSkill.java                | Java     |         14 |          0 |          8 |         22 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\data\slot\SlotWithTwoActiveSkill.java                | Java     |         17 |          0 |          6 |         23 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\display\test\TestDisplay.java                        | Java     |          6 |          0 |          5 |         11 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\display\test\TestRay.java                            | Java     |         31 |          5 |         11 |         47 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\display\utils\ParticleUtils.java                     | Java     |         12 |          0 |          7 |         19 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\entity\monster\Renou.java                            | Java     |         54 |         17 |         17 |         88 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\entity\monster\Renou2.java                           | Java     |         57 |         17 |         17 |         91 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\entity\monster\east\normal\EastNormalZombie.java     | Java     |         50 |         16 |         16 |         82 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\entity\npc\dz\ArmorChest.java                        | Java     |        158 |          4 |         32 |        194 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\entity\npc\dz\ArmorFeet.java                         | Java     |        158 |          4 |         32 |        194 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\entity\npc\dz\ArmorHead.java                         | Java     |        159 |          4 |         32 |        195 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\entity\npc\dz\ArmorLeg.java                          | Java     |        158 |          4 |         32 |        194 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\entity\npc\dz\BiWeapon.java                          | Java     |        158 |          4 |         26 |        188 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\entity\npc\dz\DUShipin.java                          | Java     |        159 |          4 |         26 |        189 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\entity\npc\dz\DanWeapon.java                         | Java     |         86 |          4 |         21 |        111 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\entity\npc\dz\Fabao1.java                            | Java     |        119 |          4 |         24 |        147 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\entity\npc\dz\Fabao2.java                            | Java     |        119 |          4 |         24 |        147 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\entity\npc\dz\Fabao3.java                            | Java     |        119 |          4 |         24 |        147 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\entity\npc\dz\GongWeapon.java                        | Java     |        158 |          4 |         26 |        188 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\entity\npc\dz\MIAOFAGE.java                          | Java     |         40 |          4 |         11 |         55 |
